row_id,state,condition_category,responder_type,statute_citation,date_effective,date_effective_snippet,date_sunset,date_sunset_snippet,notes,any_date,needs_review
32,CA,mental,firefighter,Cal. Lab. Code § 3212.15,NA,NA,1/1/29,"Sunset provision: section repealed January 1, 2029 (per § 3212.15(g)). | disability retirement presumption (county pension systems) — repealed January 1, 2032 per SB 623 extensio","Sunset provision: section repealed January 1, 2029 (per § 3212.15(g)). Applies to injuries occurring on or after January 1, 2020. Covers same firefighter population as § 3212.1 plus peace officers (§ 830.1, §830.2(a)(b)(c), §830.32, §830.37(a)(b), §830.5, §830.55) and Cal OES fire/rescue coordinators. Government Code § 31720.91 provides parallel disability retirement presumption (county pension systems) — repealed January 1, 2032 per SB 623 extension.",TRUE,TRUE
1,AK,respiratory,firefighter,Alaska Stat. § 23.30.121(b)(1)(A),NA,NA,NA,NA,"Tobacco exclusion: does not apply to firefighters with history of tobacco use for cardiovascular or lung conditions. Annual medical exam required for each of first 7 years. Firefighter must hold at minimum Fire Fighter I certification. Presumption may be rebutted by preponderance including tobacco use, fitness, lifestyle, hereditary factors, and other exposures. Covers firefighters under AS 23.30.243 (WC-covered fire fighters).",FALSE,FALSE
2,AK,cardiovascular,firefighter,Alaska Stat. § 23.30.121(b)(1)(A),NA,NA,NA,NA,"Event must occur within 72 hours after exposure to smoke, fumes, or toxic substances. Tobacco exclusion applies. Annual medical exam required for each of first 7 years. Fire Fighter I certification required. Presumption rebutted by preponderance.",FALSE,FALSE
3,AK,cancer,firefighter,Alaska Stat. § 23.30.121(b)(1)(B)(i)-(ix),NA,NA,NA,NA,Firefighter must demonstrate exposure to a known IARC or NTP carcinogen associated with the disabling cancer. Annual medical exam required for each of first 7 years. Fire Fighter I certification required. Presumption covers paid and registered volunteer firefighters.,FALSE,FALSE
4,AK,respiratory,firefighter_volunteer,Alaska Stat. § 23.30.121(b)(1)(A); § 23.30.121(f),NA,NA,NA,NA,'Fire fighter' defined to include members of volunteer fire departments registered with state fire marshal or registered for WC purposes. Same terms and conditions as career firefighters.,FALSE,FALSE
5,AK,cardiovascular,firefighter_volunteer,Alaska Stat. § 23.30.121(b)(1)(A); § 23.30.121(f),NA,NA,NA,NA,Volunteer firefighters registered with state fire marshal or for WC. Same terms as career firefighters.,FALSE,FALSE
6,AK,cancer,firefighter_volunteer,Alaska Stat. § 23.30.121(b)(1)(B); § 23.30.121(f),NA,NA,NA,NA,Volunteer firefighters registered with state fire marshal or for WC. Same terms as career firefighters. Carcinogen exposure demonstration required.,FALSE,FALSE
7,AL,cardiovascular,firefighter,Ala. Code § 11-43-144 (municipal firefighters); § 36-30-40 / § 36-30-41 (state firefighters),10/1/26,"ore Sept 8, 1967 (municipal) or before Jan 1, 2013 (state). Effective October 1, 2026.",NA,NA,"Rebuttable by preponderance of evidence. Applies to city/municipal firefighters (§11-43-144) and state-employed firefighters (§36-30-40/41). Both sections use identical occupational disease list. Pre-employment exam required unless hired before Sept 8, 1967 (municipal) or before Jan 1, 2013 (state). Effective October 1, 2026.",TRUE,FALSE
8,AL,respiratory,firefighter,Ala. Code § 11-43-144 (municipal); § 36-30-40 / § 36-30-41 (state),10/1/26,"§11-43-144) and state-employed firefighters (§36-30-40/41). Effective October 1, 2026.",NA,NA,"Rebuttable by preponderance of evidence. Applies to city/municipal firefighters (§11-43-144) and state-employed firefighters (§36-30-40/41). Effective October 1, 2026.",TRUE,FALSE
9,AL,cancer,firefighter,Ala. Code § 11-43-144(a)(5)(d) (municipal); § 36-30-40(4)(d) (state),10/1/26,"rmination window of 10 years applies to death benefit only. Effective October 1, 2026.",NA,NA,"Must manifest during service AND firefighter must demonstrate exposure to known IARC carcinogen. Rebuttable by preponderance. Death from cancer within 10 years of last employment is treated as line-of-duty death (§11-43-144(c)(2)). Post-termination window of 10 years applies to death benefit only. Effective October 1, 2026.",TRUE,FALSE
10,AL,infectious,firefighter,Ala. Code § 11-43-144(a)(5)(e) (municipal); § 36-30-40(4)(e) (state),10/1/26,"strate line-of-scope exposure. Rebuttable by preponderance. Effective October 1, 2026.",NA,NA,"Must manifest during employment AND firefighter must demonstrate line-of-scope exposure. Rebuttable by preponderance. Effective October 1, 2026.",TRUE,FALSE
11,AL,infectious,firefighter,Ala. Code § 11-43-144(a)(5)(f) (municipal); § 36-30-40(4)(f) (state),10/1/26,"strate line-of-scope exposure. Rebuttable by preponderance. Effective October 1, 2026.",NA,NA,"Must manifest during service AND firefighter must demonstrate line-of-scope exposure. Rebuttable by preponderance. Effective October 1, 2026.",TRUE,FALSE
12,AL,other,firefighter,Ala. Code § 11-43-144(a)(5)(g) (municipal); § 36-30-40(4)(g) (state),10/1/26,"ociated with Parkinson's risk. Rebuttable by preponderance. Effective October 1, 2026.",NA,NA,"Must manifest during service AND firefighter must demonstrate exposure to known toxin associated with Parkinson's risk. Rebuttable by preponderance. Effective October 1, 2026.",TRUE,FALSE
13,AR,cancer,firefighter,Ark. Code Ann. § 21-5-705(a)(3); § 24-4-511(a)(1)(A)(ii)-(iii); § 24-10-607(a)(1)(A)(iii)-(iv),NA,NA,NA,NA,"Three statutory mechanisms: (1) § 21-5-705 provides death benefit up to $150,000 for firefighters killed in line of duty from covered cancers after Jan 1, 2012 — firefighter must be under 68; Firefighter Benefit Review Panel makes recommendations to Arkansas State Claims Commission. (2) § 24-4-511 (APERS) and § 24-10-607 (LOPFI) provide disability retirement presumption for cancer diagnosed 'while in the line of duty.' Both rebuttable by preponderance. § 24-4-511 requires 5 years actual service including 18 of last 24 months; members hired after July 1, 2013 under § 24-10-607 require 10 years. Firefighter must not have been diagnosed with cancer prior to service start. LOPFI section also covers volunteer members.",FALSE,FALSE
14,AR,cancer,firefighter_volunteer,Ark. Code Ann. § 24-4-511(a)(1)(A)(ii) ('volunteer firefighter'); § 24-10-607(a)(1)(A)(iii) ('volunteer member'),NA,NA,NA,NA,Both APERS (§ 24-4-511) and LOPFI (§ 24-10-607) explicitly extend cancer presumption to 'volunteer firefighter' / 'volunteer member.' Rebuttable by preponderance. Cancer must be diagnosed 'while in the line of duty.',FALSE,FALSE
15,AZ,cancer,firefighter,Ariz. Rev. Stat. § 23-901.01(B)(1),NA,NA,NA,NA,Applies to firefighters and peace officers with identical terms for this cancer list. Must be assigned to hazardous duty for at least 5 years. Must have been exposed to known IARC carcinogen and informed department of exposure. Post-termination: applies to former firefighters/peace officers age 65 or younger diagnosed within 15 years of last employment. Tobacco exclusion applies to respiratory tract cancers only if tobacco is a substantial contributing cause. Rebuttable by preponderance of evidence showing specific non-occupational cause.,FALSE,FALSE
16,AZ,cancer,law_enforcement,Ariz. Rev. Stat. § 23-901.01(B)(1),NA,NA,NA,NA,"'Peace officer' means full-time peace officer regularly assigned to hazardous duty as part of special operations, SWAT, EOD, or hazmat response unit. Must be 65 or younger and diagnosed within 15 years of last employment. Tobacco exclusion for respiratory tract cancers. Rebuttable by preponderance.",FALSE,FALSE
17,AZ,cancer,firefighter,Ariz. Rev. Stat. § 23-901.01(B)(2),NA,NA,NA,NA,Firefighter-only expanded cancer list (not available to peace officers). Additional requirement: NFPA 1582-aligned physical exam. Must have been exposed to known IARC carcinogen. Former firefighters age 65 or younger diagnosed within 15 years of last employment. Tobacco exclusion for respiratory tract cancers where tobacco is substantial contributing cause.,FALSE,FALSE
18,AZ,cardiovascular,firefighter,Ariz. Rev. Stat. § 23-1043.05,NA,NA,NA,NA,Event must occur within 24 hours after a known exposure. NFPA 1582-aligned physical exam required. Covers firefighters and volunteer firefighters under § 23-901(6)(d). Tobacco exclusion applies where tobacco is a substantial contributing cause. Rebuttable by preponderance showing specific non-occupational cause.,FALSE,FALSE
19,AZ,cardiovascular,firefighter_volunteer,Ariz. Rev. Stat. § 23-1043.05(D),NA,NA,NA,NA,Volunteer firefighters explicitly covered under § 23-901(6)(d) definition. Event must occur within 24 hours after known exposure. NFPA 1582-aligned physical exam required.,FALSE,FALSE
20,AZ,mental,firefighter,Ariz. Rev. Stat. § 23-972 (conditional on FDA approval of midomafetamine),12/31/25,"2 conditionally enacted only if FDA approves midomafetamine (MDMA) by December 31, 2025 — FDA did not appro",NA,NA,"Employers shall provide WC coverage for firefighters diagnosed with PTSD by a licensed mental health professional with an accepted WC claim. This is a coverage mandate, not a traditional rebuttable presumption. Section 23-972 conditionally enacted only if FDA approves midomafetamine (MDMA) by December 31, 2025 — FDA did not approve as of the 2026 data date; status uncertain. Separate from the counseling program under § 38-673 (which expressly does not create a WC presumption).",TRUE,FALSE
21,AZ,mental,law_enforcement,Ariz. Rev. Stat. § 23-972 (conditional on FDA approval of midomafetamine),NA,NA,NA,NA,"Covers 'certified peace officers' (§ 38-842). Same conditional enactment tied to FDA approval of midomafetamine by December 31, 2025. Coverage mandate with accepted WC claim, not a traditional shifting presumption.",FALSE,FALSE
22,CA,cardiovascular,firefighter,Cal. Lab. Code § 3212,NA,NA,NA,NA,"Covers members of city/county/district fire departments (volunteer, partly paid, fully paid), Department of Forestry and Fire Protection active firefighting members, county forestry/firefighting departments, and warden service of Wildlife Protection Branch. Also covers sheriff's offices, California Highway Patrol, DA investigator staff, and police departments for hernia (not mapped here). Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026. Disease must develop or manifest during service.",FALSE,FALSE
23,CA,cardiovascular,law_enforcement,Cal. Lab. Code § 3212,NA,NA,NA,NA,"Covers members of sheriff's offices, police departments, California Highway Patrol, DA investigator staff, and warden service of Wildlife Protection Branch. Heart trouble and pneumonia only (hernia also included for these groups but is 'other' category). Must develop or manifest during service.",FALSE,FALSE
24,CA,other,firefighter,Cal. Lab. Code § 3212,NA,NA,NA,NA,"Hernia must develop or manifest during service. Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026.",FALSE,FALSE
25,CA,other,law_enforcement,Cal. Lab. Code § 3212,NA,NA,NA,NA,"Covers sheriff's offices, police, CHP, DA investigators. Regular salaried county/city-county peace officers also covered for hernia manifesting during service.",FALSE,FALSE
26,CA,cancer,firefighter,Cal. Lab. Code § 3212.1 (William Dallas Jones Cancer Presumption Act of 2010),NA,NA,NA,NA,"Covers active firefighting members (volunteer, partly paid, fully paid) of city/county/district/state fire departments, UC/CSU, Cal Fire, county forestry; also peace officers (§830.1, §830.2(a), §830.37(a)(b)) primarily in active law enforcement; fire and rescue services coordinators at Cal OES. Member must demonstrate exposure to known IARC carcinogen. Rebuttable if carcinogen not reasonably linked to disabling cancer and primary site established. Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026. Post-termination max is 120 months (10 years) — longer than most other CA presumptions.",FALSE,FALSE
27,CA,cancer,firefighter_volunteer,Cal. Lab. Code § 3212.1,NA,NA,NA,NA,Volunteer firefighters explicitly included in § 3212.1(a)(1) definition of covered active firefighting members.,FALSE,FALSE
28,CA,cancer,law_enforcement,Cal. Lab. Code § 3212.1,NA,NA,NA,NA,"Peace officers defined in § 830.1, § 830.2(a), § 830.37(a)(b) primarily engaged in active law enforcement. Also covered under Government Code § 31720.6 (safety members with 5+ years service, county pension systems).",FALSE,FALSE
29,CA,infectious,firefighter,Cal. Lab. Code § 3212.8,NA,NA,NA,NA,"Covers sheriff's offices, police/fire departments, Cal Fire active firefighting members, county forestry, Penal Code Chapter 4.5 individuals. Blood-borne infectious disease: post-termination window is 3 months/year, max 60 months. MRSA skin infection: separate flat 90-day post-termination window. Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026 (§ SEC. 5 / § 3212.8(e)).",FALSE,FALSE
30,CA,infectious,firefighter_volunteer,Cal. Lab. Code § 3212.8,NA,NA,NA,NA,"Volunteer fire department members covered ('whether those persons are volunteer, partly paid, or fully paid').",FALSE,FALSE
31,CA,infectious,law_enforcement,Cal. Lab. Code § 3212.8,NA,NA,NA,NA,"Covers sheriff's offices, police departments, Penal Code Chapter 4.5 individuals. Also covered under Government Code § 31720.7 (county pension system members including probation officers).",FALSE,FALSE
33,CA,mental,firefighter_volunteer,Cal. Lab. Code § 3212.15(a)(1),NA,NA,1/1/29,", 'whether volunteers, partly paid, or fully paid'). Sunset: repealed January 1, 2029.","Volunteer firefighters explicitly included (active firefighting members, 'whether volunteers, partly paid, or fully paid'). Sunset: repealed January 1, 2029.",TRUE,FALSE
34,CA,mental,law_enforcement,Cal. Lab. Code § 3212.15(a)(5),NA,NA,1/1/29,", 830.5, 830.55 primarily in active law enforcement. Sunset: repealed January 1, 2029.","Peace officers defined in Penal Code §§ 830.1, 830.2(a)(b)(c), 830.32, 830.37(a)(b), 830.5, 830.55 primarily in active law enforcement. Sunset: repealed January 1, 2029.",TRUE,FALSE
35,CA,infectious,firefighter,Cal. Lab. Code § 3212.6,NA,NA,NA,NA,"Covers regular fully-paid fire department members plus active Cal Fire firefighting members. Employer may require pre-employment TB test. Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026. Government Code § 31720.92 provides parallel disability retirement presumption (county pension systems).",FALSE,FALSE
36,CA,infectious,law_enforcement,Cal. Lab. Code § 3212.6,NA,NA,NA,NA,"Covers full-time salaried police, sheriff, CHP, DA investigators, and prison/jail guards and correctional officers employed by a public agency. Government Code § 31720.92 provides parallel disability retirement presumption (county pension systems).",FALSE,FALSE
37,CA,infectious,corrections,Cal. Lab. Code § 3212.6,NA,NA,NA,NA,Prison or jail guards and correctional officers employed by a public agency are explicitly covered under § 3212.6.,FALSE,FALSE
38,CA,infectious,firefighter,Cal. Lab. Code § 3212.9,NA,NA,NA,NA,"Covers regular full-time salaried fire department members and county forestry/firefighting. Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026. Government Code § 31720.93 provides parallel disability retirement presumption.",FALSE,FALSE
39,CA,infectious,law_enforcement,Cal. Lab. Code § 3212.9,NA,NA,NA,NA,"Covers regular full-time salaried police, sheriff, CHP, county probation officers, DA investigators. Government Code § 31720.93 provides parallel disability retirement presumption.",FALSE,FALSE
40,CA,other,firefighter,Cal. Lab. Code § 3212.85,NA,NA,NA,NA,"Covers peace officers (§§ 830.1-830.5) and members of fire departments including volunteers, partly paid, fully paid, Cal Fire, county forestry. Extended to DoD/NASA/FAA airport fire departments for injuries on or after January 1, 2026. Government Code § 31720.9 provides parallel disability retirement presumption.",FALSE,FALSE
41,CA,other,firefighter_volunteer,Cal. Lab. Code § 3212.85,NA,NA,NA,NA,Volunteers explicitly included in 'members of a fire department' definition under § 3212.85(e)(2).,FALSE,FALSE
42,CA,other,law_enforcement,Cal. Lab. Code § 3212.85; Gov. Code § 31720.9,NA,NA,NA,NA,Peace officers under Penal Code §§ 830.1-830.5. Government Code § 31720.9 provides parallel disability retirement presumption for county pension system peace officer and firefighter members.,FALSE,FALSE
