state,state_name,condition_category,condition_specific,responder_type,presumption_type,presumption_exists,rebuttable,years_service_required,pre_employment_exam_required,post_termination_months,post_termination_formula,discovery_during_employment_required,filing_deadline_notes,tobacco_exclusion,statute_citation,source_url,notes,needs_verification,iaff_url,data_retrieved
AK,Alaska,cancer,"Primary brain cancer, malignant melanoma, leukemia, non-Hodgkin's lymphoma, bladder cancer, ureter cancer, kidney cancer, prostate cancer, breast cancer",firefighter,statute,TRUE,TRUE,7,TRUE,60,"3 calendar months per year of requisite service, max 60 months",FALSE,NA,NA,Alaska Stat. § 23.30.121(b)(1)(B)(i)-(ix),https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-121.html,Firefighter must demonstrate exposure to a known IARC or NTP carcinogen associated with the disabling cancer. Annual medical exam required for each of first 7 years. Fire Fighter I certification required. Presumption covers paid and registered volunteer firefighters.,NA,https://www.iaff.org/presumptive-health/ak/,2026-05-23
AK,Alaska,cancer,"Primary brain cancer, malignant melanoma, leukemia, non-Hodgkin's lymphoma, bladder cancer, ureter cancer, kidney cancer, prostate cancer, breast cancer",firefighter_volunteer,statute,TRUE,TRUE,7,TRUE,60,"3 calendar months per year of requisite service, max 60 months",FALSE,NA,NA,Alaska Stat. § 23.30.121(b)(1)(B); § 23.30.121(f),https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-121.html,Volunteer firefighters registered with state fire marshal or for WC. Same terms as career firefighters. Carcinogen exposure demonstration required.,NA,https://www.iaff.org/presumptive-health/ak/,2026-05-23
AK,Alaska,cardiovascular,"Cardiovascular events experienced within 72 hours after exposure to smoke, fumes, or toxic substances",firefighter,statute,TRUE,TRUE,7,TRUE,60,"3 calendar months per year of requisite service, max 60 months",FALSE,NA,TRUE,Alaska Stat. § 23.30.121(b)(1)(A),https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-121.html,"Event must occur within 72 hours after exposure to smoke, fumes, or toxic substances. Tobacco exclusion applies. Annual medical exam required for each of first 7 years. Fire Fighter I certification required. Presumption rebutted by preponderance.",NA,https://www.iaff.org/presumptive-health/ak/,2026-05-23
AK,Alaska,cardiovascular,"Cardiovascular events experienced within 72 hours after exposure to smoke, fumes, or toxic substances",firefighter_volunteer,statute,TRUE,TRUE,7,TRUE,60,"3 calendar months per year of requisite service, max 60 months",FALSE,NA,TRUE,Alaska Stat. § 23.30.121(b)(1)(A); § 23.30.121(f),https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-121.html,Volunteer firefighters registered with state fire marshal or for WC. Same terms as career firefighters.,NA,https://www.iaff.org/presumptive-health/ak/,2026-05-23
AK,Alaska,respiratory,Respiratory disease,firefighter,statute,TRUE,TRUE,7,TRUE,60,"3 calendar months per year of requisite service, max 60 months",FALSE,NA,TRUE,Alaska Stat. § 23.30.121(b)(1)(A),https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-121.html,"Tobacco exclusion: does not apply to firefighters with history of tobacco use for cardiovascular or lung conditions. Annual medical exam required for each of first 7 years. Firefighter must hold at minimum Fire Fighter I certification. Presumption may be rebutted by preponderance including tobacco use, fitness, lifestyle, hereditary factors, and other exposures. Covers firefighters under AS 23.30.243 (WC-covered fire fighters).",NA,https://www.iaff.org/presumptive-health/ak/,2026-05-23
AK,Alaska,respiratory,Respiratory disease,firefighter_volunteer,statute,TRUE,TRUE,7,TRUE,60,"3 calendar months per year of requisite service, max 60 months",FALSE,NA,TRUE,Alaska Stat. § 23.30.121(b)(1)(A); § 23.30.121(f),https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-121.html,'Fire fighter' defined to include members of volunteer fire departments registered with state fire marshal or registered for WC purposes. Same terms and conditions as career firefighters.,NA,https://www.iaff.org/presumptive-health/ak/,2026-05-23
AK,Alaska,mental,Post-traumatic stress disorder (PTSD),firefighter,statute,TRUE,TRUE,NA,FALSE,36,NA,FALSE,NA,NA,Alaska Stat. § 23.30.118,https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-118.html,"AS 23.30.118 (SB 147 / Ch. 12 SLA 2024, effective January 1, 2025). PTSD must be diagnosed by a licensed psychologist or psychiatrist during employment or within 3 years after the last date of employment. The presumption is rebuttable by a preponderance of evidence that the PTSD resulted from non-work factors. No minimum service requirement applies.",NA,https://www.iaff.org/presumptive-health/ak/,2026-06-04
AK,Alaska,mental,Post-traumatic stress disorder (PTSD),emt_paramedic,statute,TRUE,TRUE,NA,FALSE,36,NA,FALSE,NA,NA,Alaska Stat. § 23.30.118,https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-118.html,"AS 23.30.118 (SB 147 / Ch. 12 SLA 2024, effective January 1, 2025). PTSD must be diagnosed by a licensed psychologist or psychiatrist during employment or within 3 years after the last date of employment. The presumption is rebuttable by a preponderance of evidence that the PTSD resulted from non-work factors. No minimum service requirement applies.",NA,https://www.iaff.org/presumptive-health/ak/,2026-06-04
AK,Alaska,mental,Post-traumatic stress disorder (PTSD),law_enforcement,statute,TRUE,TRUE,NA,FALSE,36,NA,FALSE,NA,NA,Alaska Stat. § 23.30.118,https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-118.html,"AS 23.30.118 (SB 147 / Ch. 12 SLA 2024, effective January 1, 2025). PTSD must be diagnosed by a licensed psychologist or psychiatrist during employment or within 3 years after the last date of employment. The presumption is rebuttable by a preponderance of evidence that the PTSD resulted from non-work factors. No minimum service requirement applies.",NA,https://www.iaff.org/presumptive-health/ak/,2026-06-04
AK,Alaska,mental,Post-traumatic stress disorder (PTSD),corrections,statute,TRUE,TRUE,NA,FALSE,36,NA,FALSE,NA,NA,Alaska Stat. § 23.30.118,https://codes.findlaw.com/ak/title-23-labor-and-workers-compensation/ak-st-sect-23-30-118.html,"AS 23.30.118 (SB 147 / Ch. 12 SLA 2024, effective January 1, 2025). PTSD must be diagnosed by a licensed psychologist or psychiatrist during employment or within 3 years after the last date of employment. The presumption is rebuttable by a preponderance of evidence that the PTSD resulted from non-work factors. No minimum service requirement applies.",NA,https://www.iaff.org/presumptive-health/ak/,2026-06-04
