state_abb,url,status,http_code,file_size_kb,retrieved_at
al,https://www.iaff.org/presumptive-health/al/,skipped,NA,501,NA
ak,https://www.iaff.org/presumptive-health/ak/,skipped,NA,494,NA
az,https://www.iaff.org/presumptive-health/az/,skipped,NA,513,NA
ar,https://www.iaff.org/presumptive-health/ar/,skipped,NA,498,NA
ca,https://www.iaff.org/presumptive-health/ca/,skipped,NA,554,NA
co,https://www.iaff.org/presumptive-health/co/,skipped,NA,504,NA
ct,https://www.iaff.org/presumptive-health/ct/,skipped,NA,524,NA
de,https://www.iaff.org/presumptive-health/de/,skipped,NA,506,NA
dc,https://www.iaff.org/presumptive-health/dc/,skipped,NA,502,NA
fl,https://www.iaff.org/presumptive-health/fl/,skipped,NA,516,NA
ga,https://www.iaff.org/presumptive-health/ga/,skipped,NA,502,NA
hi,https://www.iaff.org/presumptive-health/hi/,skipped,NA,492,NA
id,https://www.iaff.org/presumptive-health/id/,skipped,NA,512,NA
il,https://www.iaff.org/presumptive-health/il/,skipped,NA,507,NA
in,https://www.iaff.org/presumptive-health/in/,skipped,NA,501,NA
ia,https://www.iaff.org/presumptive-health/ia/,skipped,NA,494,NA
ks,https://www.iaff.org/presumptive-health/ks/,skipped,NA,490,NA
ky,https://www.iaff.org/presumptive-health/ky/,skipped,NA,495,NA
la,https://www.iaff.org/presumptive-health/la/,skipped,NA,508,NA
me,https://www.iaff.org/presumptive-health/me/,skipped,NA,509,NA
md,https://www.iaff.org/presumptive-health/md/,skipped,NA,497,NA
ma,https://www.iaff.org/presumptive-health/ma/,skipped,NA,494,NA
mi,https://www.iaff.org/presumptive-health/mi/,skipped,NA,502,NA
mn,https://www.iaff.org/presumptive-health/mn/,skipped,NA,495,NA
ms,https://www.iaff.org/presumptive-health/ms/,skipped,NA,510,NA
mo,https://www.iaff.org/presumptive-health/mo/,skipped,NA,499,NA
mt,https://www.iaff.org/presumptive-health/mt/,skipped,NA,512,NA
ne,https://www.iaff.org/presumptive-health/ne/,skipped,NA,505,NA
nv,https://www.iaff.org/presumptive-health/nv/,skipped,NA,519,NA
nh,https://www.iaff.org/presumptive-health/nh/,skipped,NA,500,NA
nj,https://www.iaff.org/presumptive-health/nj/,skipped,NA,508,NA
nm,https://www.iaff.org/presumptive-health/nm/,skipped,NA,495,NA
ny,https://www.iaff.org/presumptive-health/ny/,skipped,NA,500,NA
nc,https://www.iaff.org/presumptive-health/nc/,skipped,NA,504,NA
nd,https://www.iaff.org/presumptive-health/nd/,skipped,NA,497,NA
oh,https://www.iaff.org/presumptive-health/oh/,skipped,NA,495,NA
ok,https://www.iaff.org/presumptive-health/ok/,skipped,NA,494,NA
or,https://www.iaff.org/presumptive-health/or/,skipped,NA,498,NA
pa,https://www.iaff.org/presumptive-health/pa/,skipped,NA,501,NA
ri,https://www.iaff.org/presumptive-health/ri/,skipped,NA,505,NA
sc,https://www.iaff.org/presumptive-health/sc/,skipped,NA,497,NA
sd,https://www.iaff.org/presumptive-health/sd/,skipped,NA,490,NA
tn,https://www.iaff.org/presumptive-health/tn/,skipped,NA,512,NA
tx,https://www.iaff.org/presumptive-health/tx/,skipped,NA,518,NA
ut,https://www.iaff.org/presumptive-health/ut/,skipped,NA,496,NA
vt,https://www.iaff.org/presumptive-health/vt/,skipped,NA,499,NA
va,https://www.iaff.org/presumptive-health/va/,skipped,NA,514,NA
wa,https://www.iaff.org/presumptive-health/wa/,skipped,NA,505,NA
wv,https://www.iaff.org/presumptive-health/wv/,skipped,NA,500,NA
wi,https://www.iaff.org/presumptive-health/wi/,skipped,NA,494,NA
wy,https://www.iaff.org/presumptive-health/wy/,skipped,NA,502,NA
